year,horsepower,sales_volume,horsepower_scaled,price_scaled,year_scaled,model_AMG A 45,model_AMG C 63,model_AMG E 63,model_AMG GT,model_AMG S 63,model_C-Class,model_CLA,model_CLS,model_E-Class,model_G-Class,model_GLA,model_GLB,model_GLC,model_GLE,model_GLS,model_S-Class,color_Blue,color_Brown,color_Green,color_Grey,color_Orange,color_Red,color_Silver,color_White,color_Yellow,fuel_Electric,fuel_Hybrid,fuel_Petrol
2024,305,1,-0.5225234432694691,-0.4567937423105317,0.8,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2021,244,1,-1.0327802737452176,-0.5985699863032453,0.2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2020,386,1,0.15503070867373803,-0.8846726188312737,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2023,692,1,2.714679727125854,3.5330326907083696,0.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
2025,580,1,1.777814726908086,0.3046971069741001,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025,260,1,-0.8989424165712508,-0.26099275988640885,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025,323,1,-0.3719558539487564,-0.9147584281460094,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2022,259,1,-0.9073072826446238,-0.31460475816063416,0.4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2023,558,1,1.5937876732938816,1.4933445375044017,0.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
2024,404,1,0.3055982979944507,-0.802669994030747,0.8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2023,251,1,-0.9742262112316072,-0.6408611116947087,0.6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2024,308,1,-0.49742884504935037,-0.5613644092770851,0.8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2022,260,1,-0.8989424165712508,-0.4043610016282608,0.4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2023,694,1,2.7314094592725997,2.739524997802177,0.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2024,182,1,-1.5514019702943393,-0.17207673745304972,0.8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2025,253,1,-0.9574964790848614,-0.8159366419402336,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
2024,344,1,-0.19629366640792495,-0.4407263576201535,0.8,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2020,301,1,-0.5559829075629609,-0.481956151178858,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2025,282,1,-0.7149153629570465,-0.15627468572086123,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
2021,406,1,0.3223280301411966,-0.4922304329487604,0.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2020,303,1,-0.539253175416215,-0.2884989432187444,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025,409,1,0.3474226283613154,1.520983387315832,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2021,201,1,-1.3924695149002537,-0.7454022972214631,0.2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2024,497,1,1.083530842818133,-0.22829784314947407,0.8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2021,403,1,0.2972334319210778,-0.752743175731379,0.2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025,476,1,0.9078686552773015,0.6499689891784387,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
